AGENT_CODE,GAM_CODE,AGENT_JOIN_YEAR,REGION_NAME,AFYP_Regular,AFYP_exclude_RTU,Cases,Average_Case_Size
1EI00045,1EI00045,1994,KL REGION,1920,1920,1,1920
1EI00051,1EI00051,1998,NORTHERN REGION,183464.6,183344.6,60,3057.743333
1EI00071,1EI00071,1991,KL REGION,56899.68,55939.68,19,2994.72
1EI00073,1EI04998,1989,KL REGION,1133.04,1133.04,2,566.52
1EI00079,1EI00079,1987,SABAH REGION ,6720,6480,4,1680
1EI00083,1EI00083,1989,SARAWAK REGION ,12372.24,11892.24,4,3093.06
1EI00087,1EI00087,1983,SARAWAK REGION ,14280,12600,4,3570
1EI00088,1EI00088,1990,SARAWAK REGION ,13200,13200,4,3300
1EI00090,1EI00083,1987,SARAWAK REGION ,9000,9000,2,4500
1EI00092,1EI00092,1987,NORTHERN REGION,106813.2,99853.2,34,3141.564706
1EI00094,1EI00251,1993,SARAWAK REGION ,2400,2400,1,2400
1EI00105,1EI00105,1997,NORTHERN REGION,204700,202900,66,3101.515152
1EI00113,1EI00079,2000,SABAH REGION ,79743.48,77103.48,28,2847.981429
1EI00118,1EI00071,2001,KL REGION,392166.51,369246.51,103,3807.441845
1EI00123,1EI00100,2002,SABAH REGION ,6760,6640,3,2253.333333
1EI00124,1EI00105,2002,NORTHERN REGION,37064,35864,14,2647.428571
1EI00125,1EI00105,2002,NORTHERN REGION,79142,75302,29,2729.034483
1EI00126,1EI00062,2002,KL REGION,2880,2640,1,2880
1EI00128,1EI00100,2003,SABAH REGION ,407624,371624,169,2411.976331
1EI00130,1EI00102,2003,SARAWAK REGION ,67570.56,63970.56,24,2815.44
1EI00133,1EI00133,2004,NORTHERN REGION,241224,228384,74,3259.783784
1EI00159,1EI00062,2008,KL REGION,85731.04,78531.04,17,5043.002353
1EI00171,1EI00083,1989,SARAWAK REGION ,11064,11064,7,1580.571429
1EI00175,1EI00083,1994,SARAWAK REGION ,150417.96,114897.96,19,7916.734737
1EI00176,1EI00098,1994,CENTRAL REGION,295500,294180,128,2308.59375
1EI00179,1EI00062,1995,KL REGION,27102.02,24222.02,10,2710.202
1EI00189,1EI00083,1997,SARAWAK REGION ,54481.32,52201.32,27,2017.826667
1EI00204,1EI00071,1998,KL REGION,5760,5760,3,1920
1EI00228,1EI00228,2001,SOUTHERN REGION ,123092.04,121652.04,54,2279.482222
1EI00233,1EI00105,2004,NORTHERN REGION,44458.2,44458.2,12,3704.85
1EI00237,1EI04998,2006,SABAH REGION ,13920,12720,4,3480
1EI00324,1EI00071,2005,KL REGION,98859.12,91899.12,34,2907.621176
1EI00327,1EI00100,2005,SABAH REGION ,52012,49012,18,2889.555556
1EI00328,1EI00231,2005,SOUTHERN REGION ,69060,67380,33,2092.727273
1EI00378,1EI00083,1998,SARAWAK REGION ,10800.44,10440.44,7,1542.92
1EI00383,1EI00079,2000,SABAH REGION ,180252,174612,78,2310.923077
1EI00434,1EI00083,1994,SARAWAK REGION ,9664.2,9064.2,5,1932.84
1EI00444,1EI00061,2007,SOUTHERN REGION ,179747.96,176747.96,70,2567.828
1EI00449,1EI00061,2007,SOUTHERN REGION ,226171.64,206131.64,102,2217.36902
1EI00450,1EI00098,2008,CENTRAL REGION,179886.88,178086.88,62,2901.40129
1EI00452,1EI00231,2008,SOUTHERN REGION ,70560,69480,31,2276.129032
1EI00570,1EI00079,1994,SABAH REGION ,1440,1200,1,1440
1EI00589,1EI00083,1995,SARAWAK REGION ,15006.6,12006.6,8,1875.825
1EI00617,1EI00088,1998,SARAWAK REGION ,12944.64,12944.64,7,1849.234286
1EI00622,1EI00087,1988,SARAWAK REGION ,5880,5160,3,1960
1EI00661,1EI00087,1998,SARAWAK REGION ,11520,11400,3,3840
1EI00801,1EI00071,1998,KL REGION,61560,60840,29,2122.758621
1EI00866,1EI00087,1999,SARAWAK REGION ,60180,44820,7,8597.142857
1EI00870,1EI04998,1999,SABAH REGION ,5640,4440,3,1880
1EI00917,1EI00102,2000,SARAWAK REGION ,15844.2,15604.2,9,1760.466667
1EI01135,1EI00051,2001,NORTHERN REGION,36230,35990,12,3019.166667
1EI01140,1EI00087,2002,SARAWAK REGION ,21560,18200,3,7186.666667
1EI01274,1EI00088,2000,SARAWAK REGION ,39820,31180,19,2095.789474
1EI01343,1EI04998,2003,SABAH REGION ,10080,9840,4,2520
1EI01410,1EI00087,2002,SARAWAK REGION ,14400,14400,3,4800
1EI01417,1EI00254,2002,NORTHERN REGION,17597.88,17597.88,10,1759.788
1EI01582,1EI00071,2004,KL REGION,28640,27680,9,3182.222222
1EI01701,1EI00062,2005,KL REGION,154048.56,145048.56,54,2852.751111
1EI01721,1EI04998,2005,EAST COAST REGION,4320,4320,3,1440
1EI01853,1EI00051,2005,NORTHERN REGION,17160,17160,6,2860
1EI02111,1EI00102,2007,SARAWAK REGION ,8280,6000,4,2070
1EI02114,1EI00087,2007,SARAWAK REGION ,21685.68,21685.68,6,3614.28
1EI02154,1EI00051,2009,NORTHERN REGION,214340,214220,73,2936.164384
1EI02254,1EI00102,2006,SARAWAK REGION ,23040,19440,14,1645.714286
1EI02399,1EI00051,2018,NORTHERN REGION,18660,18660,8,2332.5
1EI02439,1EI00100,2008,SABAH REGION ,50195.88,46355.88,27,1859.106667
1EI02461,1EI00075,2007,CENTRAL REGION,33120,33000,19,1743.157895
1EI02657,1EI00075,2008,CENTRAL REGION,306074.28,304874.28,111,2757.425946
1EI02715,1EI00079,2008,SABAH REGION ,48000,47520,20,2400
